date,AUD,NZD,CAD,NOK,SEK,ZAR,MXN
2016-06-10,0.7373,0.7055,0.7822889775483064,0.12086637014117192,0.12033259930447758,0.06565815736947159,0.05366879910695119
2016-06-13,0.7387,0.7061,0.7789982083041208,0.12098774394153873,0.12142701022415425,0.0659152330103487,0.05308024671698674
2016-06-14,0.7358,0.6993,0.7768800497203232,0.11958146487294469,0.12033549536106665,0.06535477841462378,0.052811694621657024
2016-06-15,0.7407,0.7034,0.7744733581164809,0.12036736118634071,0.1203268076094673,0.06558839347789015,0.05287452346835724
2016-06-16,0.7363,0.7045,0.7711884013264441,0.11918524963350535,0.11991270355181428,0.0651593145240112,0.05278437582475587
2016-06-17,0.7387,0.7049,0.7755545214828602,0.11958289486271885,0.1200278464603788,0.06600790774734813,0.05308560053085601
2016-06-20,0.7457,0.712,0.7808839606434484,0.12078315799644898,0.12129445441754402,0.06738453659654182,0.05359774889454643
2016-06-21,0.745,0.7122,0.7802137785753296,0.12024578237918306,0.1207846168711953,0.06796109906689411,0.05369386977088826
2016-06-22,0.7501,0.7164,0.7785736530675802,0.1205952581944478,0.12103753373921251,0.06844533271276232,0.05407100604513848
2016-06-23,0.7613,0.725,0.7841292244961969,0.12275662271979573,0.1225174893716078,0.06936688840948661,0.05486276080384917
2016-06-24,0.7466,0.7124,0.7689941556444171,0.12000336009408263,0.11813628201493243,0.06630288483851933,0.05283234184638468
2016-06-27,0.733,0.6996,0.7649938800489596,0.11664392110205177,0.11687841138863242,0.06465001713225454,0.05213492518638235
2016-06-28,0.7386,0.7047,0.7677543186180422,0.11797461186352697,0.11755439829781231,0.06587962474965743,0.05308813692492276
2016-06-29,0.7451,0.7113,0.7730962504831851,0.1191398105677012,0.118246638839291,0.0676009112602838,0.05410113666488133
2016-06-30,0.7451,0.7134,0.773754255648406,0.11956859650381424,0.1182075014480419,0.06790433637092065,0.054703398175094634
2016-07-01,0.7498,0.7175,0.7744733581164809,0.11985090547359085,0.11853818707696685,0.06867848852382456,0.05446474769205632
2016-07-04,0.7538,0.7229,0.7784524365561264,0.12062435164410991,0.11879165132274502,0.06864313122507397,0.05428704819604139
2016-07-05,0.7463,0.7154,0.7704160246533127,0.11894849530153444,0.11731994321714749,0.06781867997721291,0.05314004527531857
2016-07-06,0.752,0.7132,0.7714858818083629,0.11859582542694497,0.11731168541698438,0.06788405403570702,0.05336777333639309
2016-07-07,0.7479,0.7228,0.7691124442393478,0.11751986085648475,0.1165609847071988,0.06774930048847246,0.053110129163834126
2016-07-08,0.7569,0.7306,0.7666360012266176,0.1173075569528189,0.11653110215116413,0.06878572558622634,0.054039448797622264
2016-07-11,0.7532,0.722,0.762369444232675,0.11756821895905101,0.11662215587717355,0.06921948113076945,0.05414830136778609
2016-07-12,0.7623,0.73,0.7667535654040791,0.11858598076535391,0.117096018735363,0.0697427885956592,0.054520573338349226
